Entry Number,Hotel Name,Region,Hotel Type,Star Rating,Check-in Date,Season,Total Revenue,Occupancy Rate (%),Customer Rating (1-5),Feedback Category,Customer Comments
H001,Mountain Retreat,Colorado,Boutique,3,1/1/2024,Winter,31270,76.88,4.4,Service,Staff went above and beyond.
H002,The Grand Oak,California,Luxury,5,1/1/2024,Winter,91240,70.75,4,Service,"Staff was helpful, though not always available."
H003,Seaside Shores,Florida,Resort,4,1/1/2024,Winter,79360,71.37,4.6,Food,Tasty and well-prepared dishes.
H004,Metro Meridian,New York,Business,5,1/1/2024,Winter,27590,73.99,3.6,Service,Slow check-in process.
H005,Budget Haven,Texas,Budget,3,1/1/2024,Winter,33920,76.07,4.5,Food,Tasty and well-prepared dishes.
H006,Mountain Retreat,Colorado,Boutique,3,1/2/2024,Winter,48860,70.74,4.2,Amenities,Lots of extras included.
H007,The Grand Oak,California,Luxury,5,1/2/2024,Winter,63600,91.78,3.5,Amenities,Modern amenities and comfortable spaces.
H008,Seaside Shores,Florida,Resort,4,1/2/2024,Winter,27390,85.22,3.9,Cleanliness,Clean enough for a short stay.
H009,Metro Meridian,New York,Business,5,1/2/2024,Winter,19370,81.69,4.1,Food,Tasty and well-prepared dishes.
H010,Budget Haven,Texas,Budget,3,1/2/2024,Winter,41010,76.46,4.7,Service,Always greeted with a smile.
H011,Mountain Retreat,Colorado,Boutique,3,1/3/2024,Winter,72130,95.43,3.8,Food,Food took a while to arrive.
H012,The Grand Oak,California,Luxury,5,1/3/2024,Winter,106580,78.01,4.5,Food,Loved every meal served.
H013,Seaside Shores,Florida,Resort,4,1/3/2024,Winter,26940,84.66,4,Amenities,Modern amenities and comfortable spaces.
H014,Metro Meridian,New York,Business,5,1/3/2024,Winter,13910,95.71,3.6,Food,Tasty and well-prepared dishes.
H015,Budget Haven,Texas,Budget,3,1/3/2024,Winter,106310,93.35,4.9,Food,Tasty and well-prepared dishes.
H016,Mountain Retreat,Colorado,Boutique,3,1/4/2024,Winter,66730,76.95,5,Amenities,Lots of extras included.
H017,The Grand Oak,California,Luxury,5,1/4/2024,Winter,42380,91.51,5,Amenities,Lots of extras included.
H018,Seaside Shores,Florida,Resort,4,1/4/2024,Winter,82010,78.55,4.7,Food,Loved every meal served.
H019,Metro Meridian,New York,Business,5,1/4/2024,Winter,121770,94.42,4.4,Service,Always greeted with a smile.
H020,Budget Haven,Texas,Budget,3,1/4/2024,Winter,120610,74.01,3.8,Location,Excellent for walking everywhere.
